Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"30655-1","Technic","",2023,"Forklift with Pallet",,78,3.5,,,,5702017400136,,17,19.5,1.9,0.055,"",0,0,0,,0,0,,,,,,,,,4.3800,,"01/01/2023","31/12/2023"
"30656-1","Monkie Kid","Season 4",2023,"Monkey King Marketplace",,66,,,,,,,17,19.5,1.5,,"",0,0,0,,0,0,,,,,,,,,9.1700,,"01/01/2023","31/12/2023"
"30657-1","Speed Champions","McLaren",2023,"McLaren Solus GT",,95,,4.99,,,,,20,19.5,1.9,,"",0,0,0,,0,0,,,,,,,,,3.8500,1.7500,"01/03/2023","31/12/2023"
"31133-1","Creator","3 in 1",2023,"White Rabbit",,258,17.99,19.99,24.99,19.99,5702017415864,673419373593,26,19,6,0.411,"",0,0,0,,0,0,,,,,,,,,12.9300,12.9800,"01/01/2023","31/12/2025"
"31134-1","Creator","3 in 1",2023,"Space Shuttle",,144,8.99,9.99,13.99,9.99,5702017415871,673419373609,19,14,4.4,0.215,"",0,0,0,,0,0,,,,,,,,,9.0400,,"01/03/2023","31/12/2025"
"31135-1","Creator","3 in 1",2023,"Vintage Motorcycle",,128,12.99,14.99,19.99,14.99,5702017415888,673419373616,19,14,4.4,0.171,"",0,0,0,,0,0,,,,,,,,,13.4100,,"01/03/2023","31/12/2024"
"31136-1","Creator","3 in 1",2023,"Exotic Parrot",,253,19.99,19.99,24.99,24.99,5702017415895,673419373623,19,26.2,6,0.36,"",0,0,0,,0,0,,,,,,,,,18.6800,13.1000,"01/03/2023","31/12/2025"
"31137-1","Creator","3 in 1",2023,"Adorable Dogs",,475,24.99,29.99,39.99,29.99,5702017415901,673419373630,35.2,19,6.8,0.591,"",0,0,0,,0,0,,,,,,,,,21.3500,15.0000,"01/03/2023","31/12/2025"
"31138-1","Creator","3 in 1",2023,"Beach Camper Van",2,556,44.99,49.99,64.99,49.99,5702017415918,673419373647,38,26,5.3,0.971,"",0,0,0,,0,0,,,,,,,,,33.0300,,"01/03/2023","31/12/2024"
"31139-1","Creator","3 in 1",2023,"Cozy House",3,808,54.99,59.99,79.99,59.99,5702017415925,673419374859,38,26,6.8,1.17,"",0,0,0,,0,0,,,,,,,,,49.3900,30.0000,"01/03/2023","31/12/2025"
"31140-1","Creator","3 in 1",2023,"Magical Unicorn",,145,8.99,9.99,13.99,9.99,5702017415932,673419374866,19,14,4.4,0.227,"",0,0,0,,0,0,,,,,,,,,7.8100,5.3900,"01/03/2023","31/12/2025"
"31141-1","Creator","3 in 1",2023,"Main Street",6,1459,124.99,139.99,179.99,139.99,5702017415949,673419374873,48,37.8,7.1,2.175,"",0,0,0,,0,0,,,,,,,,,116.5900,45.0000,"01/08/2023","31/12/2025"
"31142-1","Creator","3 in 1",2023,"Space Roller Coaster",6,874,94.99,109.99,139.99,104.99,5702017415956,673419374880,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,84.0900,90.0000,"01/08/2023","31/12/2025"
"31143-1","Creator","3 in 1",2023,"Birdhouse",,476,24.99,29.99,39.99,29.99,5702017434070,673419379328,28.2,26.2,5.9,0.659,"",0,0,0,,0,0,,,,,,,,,30.2400,21.3400,"01/01/2023","31/12/2024"
"31144-1","Creator","3 in 1",2023,"Exotic Pink Parrot",,253,19.99,19.99,24.99,24.99,5702017468648,673419381857,19.1,26.2,6.1,0.357,"",0,0,0,,0,0,,,,,,,,,25.2500,,"01/08/2023","31/12/2024"
"31208-1","Art","Miscellaneous",2023,"Hokusai - The Great Wave",,1810,89.99,99.99,139.99,99.99,5702017412160,673419374897,48,37.8,11.2,,"",0,0,0,,0,0,,,,,,,,,80.9200,,"01/01/2023","31/12/2025"
"31209-1","Art","Licensed",2023,"The Amazing Spider-Man",,2099,169.99,199.99,259.99,199.99,5702017415567,673419374903,37.8,58.2,11.8,,"",0,0,0,,0,0,,,,,,,,,161.7500,,"01/08/2023","31/12/2025"
"31210-1","Art","Miscellaneous",2023,"Modern Art",,805,44.99,49.99,64.99,49.99,5702017415574,673419374910,38.2,26.2,9.4,,"",0,0,0,,0,0,,,,,,,,,37.7000,,"01/08/2023","31/12/2025"
"40504-1","Promotional","LEGO House",2023,"A Minifigure Tribute",,1041,69.99,84.99,,79.99,,,26.2,38.2,9.4,,"",0,0,0,,0,0,,,,,,,,,154.7600,119.0300,"01/03/2023","31/12/2024"
"40575-1","Seasonal","Chinese Traditional Festival",2023,"Year of the Rabbit",,194,,,,,5702017241951,,13.7,12.2,4.6,0.172,"",0,0,0,,0,0,,,,,,,,,9.6200,,"",""
"40580-1","Icons","Space System",2023,"Blacktron Cruiser",2,356,,,,,5702017422749,,26,19,4.6,0.367,"",0,0,0,,0,0,,,,,,,,,31.5000,35.0000,"01/01/2023","31/12/2023"
"40581-1","Icons","Promotional",2023,"BIONICLE Tahu and Takua",,219,,,,,,,14.1,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,20.9300,15.0000,"19/01/2023","31/12/2023"
"40582-1","City","Medical",2023,"4x4 Off-Road Ambulance Rescue",3,162,,,,,5702017423555,,26,14,6,0.293,"",0,0,0,,0,0,,,,,,,,,12.3200,7.5700,"10/02/2023","31/12/2023"
